ID:1 P417,T500  ID:2 P212,T500  ID:3 P273,T500  ID:4 P671,T500  ID:5 P767,T500  ID:6 P445,T500  ID:7 P483,T500  ID:8 P517,T500  ID:9 P573,T500  ID:10 P447,T500  ID:11 P570,T500  ID:12 P553,T500  ID:13 P427,T500  ID:14 P588,T500  ID:15 P449,T500  ID:16 P511,T500  ID:17 P604,T500  Time:500
ID:1 P418,T500  ID:2 P485,T500  ID:3 P288,T500  ID:4 P672,T500  ID:5 P755,T500  ID:6 P460,T500  ID:7 P476,T500  ID:8 P572,T500  ID:9 P646,T500  ID:10 P441,T500  ID:11 P567,T500  ID:12 P590,T500  ID:13 P428,T500  ID:14 P570,T500  ID:15 P422,T500  ID:16 P478,T500  ID:17 P658,T500  Time:500
ID:1 P417,T500  ID:2 P247,T500  ID:3 P286,T500  ID:4 P672,T500  ID:5 P755,T500  ID:6 P457,T500  ID:7 P463,T500  ID:8 P564,T500  ID:9 P646,T500  ID:10 P444,T500  ID:11 P565,T500  ID:12 P540,T500  ID:13 P431,T500  ID:14 P607,T500  ID:15 P429,T500  ID:16 P452,T500  ID:17 P557,T500  Time:500
ID:1 P419,T500  ID:2 P243,T500  ID:3 P288,T500  ID:4 P671,T500  ID:5 P755,T500  ID:6 P400,T500  ID:7 P469,T500  ID:8 P553,T500  ID:9 P646,T500  ID:10 P441,T500  ID:11 P580,T500  ID:12 P625,T500  ID:13 P466,T500  ID:14 P537,T500  ID:15 P398,T500  ID:16 P447,T500  ID:17 P537,T500  Time:500
ID:1 P415,T500  ID:2 P240,T500  ID:3 P288,T500  ID:4 P673,T500  ID:5 P755,T500  ID:6 P397,T500  ID:7 P438,T500  ID:8 P525,T500  ID:9 P646,T500  ID:10 P444,T500  ID:11 P647,T500  ID:12 P625,T500  ID:13 P469,T500  ID:14 P536,T500  ID:15 P465,T500  ID:16 P285,T500  ID:17 P484,T500  Time:500
ID:1 P416,T500  ID:2 P239,T500  ID:3 P285,T500  ID:4 P673,T500  ID:5 P753,T500  ID:6 P394,T500  ID:7 P473,T500  ID:8 P491,T500  ID:9 P646,T500  ID:10 P486,T500  ID:11 P610,T500  ID:12 P618,T500  ID:13 P469,T500  ID:14 P575,T500  ID:15 P442,T500  ID:16 P452,T500  ID:17 P473,T500  Time:500
ID:1 P418,T500  ID:2 P240,T500  ID:3 P286,T500  ID:4 P673,T500  ID:5 P755,T500  ID:6 P394,T500  ID:7 P478,T500  ID:8 P521,T500  ID:9 P644,T500  ID:10 P487,T500  ID:11 P508,T500  ID:12 P619,T500  ID:13 P367,T500  ID:14 P571,T500  ID:15 P441,T500  ID:16 P473,T500  ID:17 P522,T500  Time:500
ID:1 P418,T500  ID:2 P485,T500  ID:3 P288,T500  ID:4 P672,T500  ID:5 P755,T500  ID:6 P460,T500  ID:7 P476,T500  ID:8 P572,T500  ID:9 P646,T500  ID:10 P441,T500  ID:11 P567,T500  ID:12 P590,T500  ID:13 P428,T500  ID:14 P570,T500  ID:15 P422,T500  ID:16 P478,T500  ID:17 P658,T500  Time:500
ID:1 P417,T500  ID:2 P247,T500  ID:3 P286,T500  ID:4 P672,T500  ID:5 P755,T500  ID:6 P457,T500  ID:7 P463,T500  ID:8 P564,T500  ID:9 P646,T500  ID:10 P444,T500  ID:11 P565,T500  ID:12 P540,T500  ID:13 P431,T500  ID:14 P607,T500  ID:15 P429,T500  ID:16 P452,T500  ID:17 P557,T500  Time:500
ID:1 P419,T500  ID:2 P243,T500  ID:3 P288,T500  ID:4 P671,T500  ID:5 P755,T500  ID:6 P400,T500  ID:7 P469,T500  ID:8 P553,T500  ID:9 P646,T500  ID:10 P441,T500  ID:11 P580,T500  ID:12 P625,T500  ID:13 P466,T500  ID:14 P537,T500  ID:15 P398,T500  ID:16 P447,T500  ID:17 P537,T500  Time:500
ID:1 P415,T500  ID:2 P240,T500  ID:3 P288,T500  ID:4 P673,T500  ID:5 P755,T500  ID:6 P397,T500  ID:7 P438,T500  ID:8 P525,T500  ID:9 P646,T500  ID:10 P444,T500  ID:11 P647,T500  ID:12 P625,T500  ID:13 P469,T500  ID:14 P536,T500  ID:15 P465,T500  ID:16 P285,T500  ID:17 P484,T500  Time:500
ID:1 P416,T500  ID:2 P239,T500  ID:3 P285,T500  ID:4 P673,T500  ID:5 P753,T500  ID:6 P394,T500  ID:7 P473,T500  ID:8 P491,T500  ID:9 P646,T500  ID:10 P486,T500  ID:11 P610,T500  ID:12 P618,T500  ID:13 P469,T500  ID:14 P575,T500  ID:15 P442,T500  ID:16 P452,T500  ID:17 P473,T500  Time:500
ID:1 P418,T500  ID:2 P240,T500  ID:3 P286,T500  ID:4 P673,T500  ID:5 P755,T500  ID:6 P394,T500  ID:7 P478,T500  ID:8 P521,T500  ID:9 P644,T500  ID:10 P487,T500  ID:11 P508,T500  ID:12 P619,T500  ID:13 P367,T500  ID:14 P571,T500  ID:15 P441,T500  ID:16 P473,T500  ID:17 P522,T500  Time:500
ID:1 P419,T500  ID:2 P240,T500  ID:3 P283,T500  ID:4 P673,T500  ID:5 P757,T500  ID:6 P394,T500  ID:7 P509,T500  ID:8 P541,T500  ID:9 P644,T500  ID:10 P487,T500  ID:11 P506,T500  ID:12 P620,T500  ID:13 P366,T500  ID:14 P570,T500  ID:15 P441,T500  ID:16 P377,T500  ID:17 P491,T500  Time:500
ID:1 P417,T500  ID:2 P240,T500  ID:3 P284,T500  ID:4 P673,T500  ID:5 P684,T500  ID:6 P395,T500  ID:7 P436,T500  ID:8 P568,T500  ID:9 P588,T500  ID:10 P488,T500  ID:11 P508,T500  ID:12 P619,T500  ID:13 P365,T500  ID:14 P572,T500  ID:15 P441,T500  ID:16 P313,T500  ID:17 P536,T500  Time:500
ID:1 P418,T500  ID:2 P240,T500  ID:3 P285,T500  ID:4 P673,T500  ID:5 P684,T500  ID:6 P395,T500  ID:7 P471,T500  ID:8 P592,T500  ID:9 P588,T500  ID:10 P489,T500  ID:11 P508,T500  ID:12 P618,T500  ID:13 P363,T500  ID:14 P572,T500  ID:15 P441,T500  ID:16 P448,T500  ID:17 P575,T500  Time:500
ID:1 P416,T500  ID:2 P240,T500  ID:3 P284,T500  ID:4 P673,T500  ID:5 P684,T500  ID:6 P395,T500  ID:7 P460,T500  ID:8 P580,T500  ID:9 P588,T500  ID:10 P488,T500  ID:11 P507,T500  ID:12 P618,T500  ID:13 P364,T500  ID:14 P572,T500  ID:15 P441,T500  ID:16 P479,T500  ID:17 P734,T500  Time:500
ID:1 P416,T500  ID:2 P240,T500  ID:3 P285,T500  ID:4 P673,T500  ID:5 P684,T500  ID:6 P395,T500  ID:7 P457,T500  ID:8 P493,T500  ID:9 P588,T500  ID:10 P489,T500  ID:11 P507,T500  ID:12 P618,T500  ID:13 P365,T500  ID:14 P572,T500  ID:15 P442,T500  ID:16 P489,T500  ID:17 P587,T500  Time:500
ID:1 P416,T500  ID:2 P240,T500  ID:3 P285,T500  ID:4 P673,T500  ID:5 P684,T500  ID:6 P395,T500  ID:7 P459,T500  ID:8 P501,T500  ID:9 P588,T500  ID:10 P487,T500  ID:11 P508,T500  ID:12 P619,T500  ID:13 P366,T500  ID:14 P572,T500  ID:15 P441,T500  ID:16 P462,T500  ID:17 P510,T500  Time:500
